semester,Bachelor's vs market median %,Master's vs market median %,PhD/Doctorate vs market median %
F2022,-12.15034965034965,0.4747377622377546,18.006993006993007
W2023,-12.270742358078603,0.4366812227074236,27.117903930131003
F2023,-12.587412587412588,4.501748251748252,31.11888111888112
W2024,-10.20408163265306,3.7142857142857135,28.571428571428573
F2024,-10.0,2.688,22.8
F2025,-10.105399408284024,2.0710059171597632,32.91420118343196
W2026,-8.070641712813527,2.6048298735526667,31.65736326216352
