semester,Master's vs Bachelor's %,PhD vs Bachelor's %,PhD vs Master's %
F2022,14.371243781094512,34.32835820895524,17.44941627640111
W2023,14.484818317570936,44.89795918367348,26.56521739130435
F2023,19.55,50.0,25.47051442910917
W2024,15.500000000000004,43.18181818181819,23.96694214876034
F2024,14.097777777777786,36.44444444444444,19.58554066687441
F2025,13.54520209811787,47.8556001234187,30.217391304347817
W2026,11.612690206121234,43.215797124208265,28.31497642402836
